identity_confidence,income_confidence,foir,cibil_score_normalized,cashflow_stability,employment_tier,loan_to_income_ratio,label
0.8774,0.7984,0.3492,0.8464,0.589,2,3.211,0.6394
0.8772,0.8263,0.278,0.396,0.548,1,5.183,0.5808
0.9558,0.9168,0.4704,0.6648,0.8924,3,2.7136,0.7253
0.8562,0.6355,0.8793,0.8882,0.5329,5,0.8174,0.5934
0.7029,0.8669,0.3276,0.5545,0.6758,5,2.9866,0.6212
0.7128,0.9039,0.7,0.5257,0.7508,3,5.2316,0.4873
0.7768,0.5111,0.4446,0.6824,0.8633,5,0.7205,0.6409
0.6512,0.7611,0.2509,0.4357,0.8134,3,6.289,0.557
0.8656,0.7615,0.3367,0.9258,0.8817,4,6.9296,0.6191
0.5928,0.8491,0.8961,0.8854,0.8091,2,6.0887,0.5174
0.8255,0.7707,0.3484,0.6711,0.8728,4,7.8886,0.585
0.7348,0.6853,0.1139,0.4636,0.863,3,4.9839,0.5366
0.8384,0.7994,0.4754,0.9334,0.5351,3,1.602,0.6619
0.8235,0.7098,0.2038,0.9338,0.6559,3,3.6328,0.6542
0.9443,0.8961,0.3206,0.4862,0.7851,4,6.3806,0.5676
0.7402,0.8593,0.8771,0.8786,0.3849,2,4.9071,0.5133
0.9065,0.9418,0.0153,0.783,0.9716,3,0.9199,0.8637
0.8506,0.791,0.3351,0.6484,0.5187,2,3.5241,0.6144
0.837,0.5827,0.4554,0.926,0.319,5,1.9883,0.5626
0.7754,0.7796,0.6216,0.718,0.8467,5,4.5889,0.5228
0.6488,0.963,0.8757,0.8036,0.7614,3,7.3638,0.5501
0.9136,0.8106,0.6427,0.6063,0.6993,2,6.127,0.5768
0.7647,0.8441,0.615,0.6375,0.7301,2,1.6941,0.6797
0.8071,0.6377,0.3989,0.8344,0.7223,2,7.1913,0.5641
0.923,0.8242,0.5888,0.6618,0.6415,3,4.5927,0.5169
0.8937,0.7726,0.2508,0.9475,0.8767,5,4.2935,0.6817
0.8099,0.8314,0.0089,0.4136,0.7634,1,5.5476,0.6787
0.8645,0.9162,0.7644,0.5464,0.948,2,5.6335,0.6125
0.7706,0.9401,1.0,0.9656,0.8483,2,5.5657,0.5056
0.9571,0.8991,0.4056,0.5264,0.8397,3,2.2861,0.6993
0.9553,0.6553,0.2679,0.9014,0.7173,2,6.8353,0.5852
0.9079,0.8728,0.3919,0.7928,0.7852,4,4.5601,0.63
0.8398,0.9314,0.7398,0.4201,0.5454,3,2.2407,0.5855
0.7292,0.9164,0.3678,0.7416,0.902,3,3.808,0.6459
0.8256,0.8392,1.0,0.9598,0.6913,2,5.8816,0.5104
0.716,0.8549,0.4311,0.8754,0.6277,5,4.6535,0.5625
0.8217,0.8015,0.4801,0.9499,0.5985,5,5.996,0.5755
0.8959,0.6721,0.3109,0.6135,0.8804,4,6.312,0.5306
0.915,0.8731,0.6385,0.8952,0.8837,4,1.2392,0.7254
0.8345,0.8021,0.7612,0.7638,0.9361,4,7.9816,0.4985
0.9044,0.7633,0.937,0.4508,0.4032,3,3.1119,0.4943
0.6846,0.9898,0.4477,0.7144,0.4392,3,5.4514,0.559
0.8624,0.8849,0.3949,0.8917,0.8026,4,3.9151,0.7061
0.7367,0.514,0.5167,0.8088,0.7949,4,6.7973,0.4344
0.5822,0.6956,0.8096,0.7386,0.1863,1,7.9257,0.4154
0.8738,0.9047,0.4343,0.4166,0.6441,2,1.4352,0.6657
0.8493,0.9095,0.4116,0.8119,0.698,2,4.6621,0.6531
0.9701,0.9525,0.2501,0.8214,0.462,1,3.8972,0.6799
0.8579,0.7197,0.3294,0.7863,0.6011,2,3.5193,0.6682
0.8128,0.6357,0.544,0.5077,0.3867,2,0.6474,0.5258
0.8101,0.5133,0.5543,0.6175,0.6749,2,4.9274,0.448
0.8547,0.8814,0.2072,0.7793,0.4243,3,0.61,0.7081
0.9279,0.603,0.8768,0.9183,0.3987,5,6.4939,0.4392
0.8097,0.9388,0.6309,0.9219,0.7673,5,4.7832,0.6278
0.8129,0.8302,0.8244,0.9451,0.8221,5,5.5576,0.4751
0.7166,0.898,0.2172,0.8326,0.8163,3,1.3026,0.7241
0.8202,0.8881,0.578,0.5397,0.6659,5,3.1668,0.5675
0.9177,0.8991,0.4794,0.587,0.7524,3,0.9756,0.6614
0.563,0.8826,0.4658,0.7506,0.7496,2,2.7657,0.6198
0.942,0.7306,0.1642,0.9162,0.659,5,5.9711,0.6509
0.852,0.6715,0.691,0.7276,0.8327,3,5.1391,0.4457
0.838,0.9159,1.0,0.6001,0.5658,4,6.5563,0.4729
0.777,0.8161,0.4275,0.8996,0.8223,3,6.9889,0.6158
0.8101,0.9848,0.4558,0.6294,0.7983,4,0.7167,0.6747
0.7696,0.889,0.1928,0.5091,0.779,5,6.4864,0.5246
0.8616,0.94,0.4277,0.7727,0.9763,3,3.4706,0.7263
0.9386,0.5436,0.2478,0.6592,0.7784,3,6.1442,0.6091
0.7711,0.5602,1.0,0.7568,0.8183,2,7.5835,0.427
0.7443,0.7725,0.1155,0.5502,0.766,1,4.0605,0.6337
0.6056,0.8191,0.0645,0.9051,0.3716,4,6.0523,0.536
0.8381,0.8867,1.0,0.9237,0.5909,4,6.1674,0.5053
0.8914,0.567,0.8223,0.9252,0.8506,2,3.8706,0.5029
0.5845,0.9083,0.8449,0.5529,0.854,3,6.6268,0.4839
0.772,0.8416,0.0928,0.5539,0.5858,3,0.584,0.7206
0.7444,0.8623,0.6211,0.5635,0.8284,3,6.7404,0.5218
0.9668,0.8311,0.4741,0.9648,0.3037,2,2.6164,0.681
0.9536,0.7892,0.3756,0.7904,0.6626,3,6.3868,0.5836
0.7551,0.7469,0.8561,0.9595,0.7951,4,3.1888,0.538
0.8393,0.9815,0.2598,0.6787,0.906,3,6.3804,0.7075
0.9128,0.8364,0.3148,0.4229,0.7613,4,3.0996,0.659
0.5602,0.871,0.4778,0.5913,0.6867,4,0.5379,0.6468
0.952,0.9366,0.1871,0.9124,0.6957,3,6.8288,0.7354
0.4636,0.7128,1.0,0.6345,0.8187,2,4.7562,0.3265
0.8412,0.6053,0.5142,0.3768,0.6736,3,4.7111,0.4743
0.9142,0.6036,0.4596,0.9199,0.3161,3,4.6037,0.5697
0.5692,0.9031,0.8917,0.8023,0.3948,3,2.9998,0.4793
0.8465,0.8037,0.4332,0.9114,0.4617,2,6.6318,0.6386
0.8627,0.7371,0.1766,0.4204,0.7697,2,5.2529,0.573
0.8858,0.7063,0.4453,0.9171,0.4536,5,3.7131,0.5341
0.5239,0.6989,0.6775,0.779,0.9646,4,4.0813,0.4717
0.7777,0.6433,0.7739,0.7888,0.9287,3,2.4133,0.5797
0.845,0.6249,1.0,0.5329,0.6877,2,7.4564,0.3923
0.7764,0.9609,0.8184,0.5898,0.5665,3,3.9753,0.5614
0.8507,0.8318,0.1399,0.4909,0.7746,3,6.296,0.625
0.8447,0.7712,0.5436,0.9363,0.6488,3,2.1196,0.6341
0.8084,0.9654,0.533,0.8158,0.7588,2,6.1198,0.614
0.8313,0.9132,0.4579,0.9267,0.6736,4,3.0833,0.6767
0.8943,0.8693,0.0781,0.7272,0.5297,2,6.3887,0.6539
0.6252,0.8394,0.2246,0.5075,0.8268,5,1.1308,0.6162
0.8539,0.7766,0.7763,0.4065,0.795,2,2.7164,0.5465
0.7577,0.806,0.2729,0.7358,0.8509,4,1.1348,0.6736
0.8186,0.7725,0.6934,0.8883,0.8003,3,5.8908,0.5205
0.6639,0.8652,0.3986,0.7314,0.7371,5,3.4477,0.6191
0.9499,0.8202,0.5048,0.9078,0.6162,5,4.8179,0.5779
0.8954,0.8022,0.5637,0.4446,0.8651,4,0.9188,0.6305
0.9821,0.9392,0.7974,0.9068,0.9448,3,1.727,0.7159
0.9747,0.8661,0.6836,0.9319,0.5862,1,7.4568,0.5927
0.975,0.7903,0.2166,0.732,0.5405,2,6.3167,0.6815
0.6795,0.7096,0.7813,0.8604,0.7757,2,4.4166,0.5014
0.6836,0.9249,0.6761,0.9003,0.5023,5,2.167,0.5862
0.9461,0.8477,0.2244,0.8537,0.7622,4,2.6903,0.7673
0.7425,0.7269,0.1375,0.9177,0.6256,2,2.2724,0.7089
0.5839,0.7889,0.8325,0.5586,0.5391,1,2.8882,0.4289
0.9164,0.8141,0.9591,0.4836,0.7319,3,0.504,0.5739
0.7433,0.4854,0.3488,0.7404,0.724,2,1.7373,0.5718
0.5969,0.4992,0.5201,0.8739,0.6374,5,5.5409,0.4169
0.9302,0.5007,0.4014,0.7416,0.7986,3,7.4252,0.5533
0.8942,0.922,0.4308,0.7526,0.4654,4,2.1706,0.6661
0.694,0.8748,0.5763,0.7966,0.6985,2,2.4629,0.6852
0.9068,0.8993,0.7506,0.4244,0.5373,3,1.5958,0.5563
0.6899,0.7834,0.6799,0.9388,0.8832,5,4.3893,0.5447
0.8561,0.8383,0.6171,0.8856,0.8696,3,6.9385,0.6346
0.8379,0.6263,0.3719,0.8409,0.7403,1,2.1712,0.6488
0.8775,0.8491,0.4218,0.6348,0.5015,4,5.8307,0.5476
0.9234,0.896,0.7639,0.6247,0.8135,4,6.1542,0.5407
0.6484,0.7578,0.4576,0.888,0.778,1,6.9193,0.5511
0.6601,0.9432,0.5936,0.8688,0.5336,5,0.6229,0.6299
0.8137,0.5293,0.3637,0.4631,0.8697,3,6.967,0.4995
0.7599,0.6552,0.1537,0.6272,0.489,3,5.204,0.492
0.863,0.5323,0.2669,0.4018,0.6064,3,4.9863,0.5072
0.9459,0.835,0.1647,0.6996,0.9956,2,7.8212,0.6953
0.7972,0.9686,0.9154,0.5668,0.7901,2,7.6072,0.5411
0.8981,0.8881,0.5477,0.8399,0.9395,4,5.7585,0.5932
0.9114,0.8016,0.17,0.6935,0.5236,1,2.5446,0.7428
0.7152,0.8905,0.5159,0.8125,0.7404,1,2.8198,0.6541
0.8508,0.7889,0.2501,0.794,0.4702,2,1.0633,0.7467
0.9275,0.7153,1.0,0.7434,0.8945,2,4.6216,0.5678
0.7002,0.8797,1.0,0.7904,0.8134,4,1.7819,0.5754
0.9635,0.6308,0.1269,0.6228,0.6633,3,5.2625,0.6653
0.8907,0.9343,0.4338,0.5404,0.5283,1,4.0765,0.5794
0.8681,0.8337,0.0421,0.6059,0.7471,3,1.33,0.7984
0.8514,0.7568,0.5058,0.9456,0.561,2,2.9461,0.6421
0.8352,0.9564,0.552,0.7045,0.8112,2,3.1396,0.6388
0.7802,0.9498,0.4195,0.6629,0.8304,4,7.0688,0.5672
0.5647,0.743,0.7462,0.7379,0.9175,1,4.1185,0.4879
0.7586,0.8833,0.4917,0.8112,0.8867,4,1.9369,0.6445
0.5853,0.7874,0.255,0.8784,0.8492,1,4.1296,0.5971
0.8737,0.8899,0.6162,0.6365,0.5257,1,4.2418,0.5241
0.7809,0.7236,0.3099,0.2056,0.4432,4,7.5988,0.462
0.7877,0.7045,0.4268,0.6882,0.6558,3,7.8312,0.5267
0.8312,0.7855,0.424,0.5616,0.6198,3,2.7521,0.6214
0.8065,0.9273,0.1361,0.9521,0.5455,3,0.5723,0.7748
0.9035,0.8132,0.5023,0.934,0.5647,5,4.2242,0.5956
0.6047,0.8122,0.3175,0.7688,0.6357,3,4.6558,0.5226
0.7846,0.9526,0.5369,0.7196,0.6668,4,5.9315,0.5361
0.6362,0.8268,0.2205,0.5205,0.7905,5,3.8889,0.5461
0.8446,0.7811,0.1483,0.8962,0.7501,4,1.3556,0.7776
0.6557,0.8455,0.8266,0.8625,0.5044,3,6.1175,0.4759
0.9252,0.8207,0.9432,0.9051,0.6009,1,2.9581,0.6233
0.9577,0.8335,0.7983,0.6836,0.5086,3,7.8157,0.4991
0.8765,0.9258,0.3871,0.904,0.6529,3,3.6637,0.692
0.6238,0.9406,0.7622,0.6333,0.825,5,0.7811,0.5636
0.9333,0.928,0.6398,0.7038,0.5638,5,5.2002,0.5484
0.5761,0.8891,0.5124,0.5358,0.6793,1,2.788,0.5761
0.7289,0.8192,0.2169,0.7186,0.9272,2,1.7514,0.7518
0.6119,0.8635,0.0346,0.7884,0.4458,1,4.1204,0.6569
0.7668,0.852,0.5553,0.9106,0.6426,2,2.4876,0.6907
0.9064,0.7132,0.6808,0.8451,0.5302,2,7.1995,0.5085
0.756,0.9423,0.4211,0.8874,0.5672,1,4.3199,0.6834
0.9706,0.6173,1.0,0.8108,0.9018,4,6.1968,0.4423
0.8991,0.6153,0.8208,0.9045,0.5337,1,7.4221,0.4915
0.8436,0.8849,0.8715,0.5776,0.7794,3,7.0911,0.4997
0.7084,0.6702,1.0,0.7422,0.6491,2,5.0595,0.4065
0.8482,0.914,0.7207,0.976,0.9423,2,2.6877,0.6783
0.9081,0.9319,0.058,0.5741,0.5973,3,3.4115,0.6698
0.771,0.6568,0.1198,0.4316,0.6759,5,2.8178,0.5681
0.9749,0.8021,0.3417,0.9328,0.6785,3,1.187,0.7056
0.7898,0.9484,0.5592,0.8266,0.9442,2,1.2103,0.7393
0.8293,0.6648,0.6679,0.4571,0.5758,2,7.8771,0.4877
0.7022,0.8061,0.5125,0.8964,0.633,5,2.7488,0.6249
0.9877,0.9201,0.6837,0.7353,0.7985,3,7.9015,0.5473
0.877,0.9152,0.2732,0.5423,0.7941,5,1.3164,0.7112
0.8077,0.4654,0.4233,0.876,0.8792,3,3.1769,0.5662
0.5668,0.6981,0.5777,0.8657,0.5716,4,4.4618,0.458
0.7415,0.9731,0.9825,0.7962,0.9882,3,1.2536,0.6302
0.8866,0.8491,0.7517,0.6301,0.397,3,5.3917,0.4324
0.9266,0.646,0.6586,0.6894,0.8111,2,4.4758,0.5474
0.8322,0.922,0.7528,0.7133,0.4808,3,7.9088,0.5119
0.9048,0.7918,1.0,0.6093,0.6707,4,5.5185,0.4307
0.9411,0.7981,0.8777,0.7888,0.4782,2,2.9139,0.6272
0.6025,0.8308,0.9593,0.7152,0.6868,4,2.8729,0.471
0.7861,0.8828,0.5876,0.8026,0.5095,3,7.6937,0.5628
0.8296,0.8252,0.5898,0.4274,0.8011,3,1.6513,0.6228
0.7213,0.8435,0.0525,0.5195,0.8367,2,2.212,0.6822
0.5907,0.741,0.7288,0.9366,0.5466,2,4.0868,0.5491
0.6164,0.912,0.2238,0.8397,0.6257,4,6.3513,0.6118
0.8884,0.6699,0.3462,0.7043,0.8382,3,1.0773,0.7005
0.9433,0.8609,0.4875,0.5957,0.8632,2,7.1228,0.6099
0.7553,0.7617,0.4901,0.6344,0.7489,4,7.4119,0.518
0.7793,0.8822,0.339,0.7663,0.8269,4,6.1717,0.5962
0.7176,0.8734,0.2201,0.9236,0.893,3,3.4635,0.6937
0.9122,0.7,0.0924,0.6534,0.6548,4,4.9627,0.6277
0.8286,0.7949,0.259,0.8555,0.8742,3,4.6579,0.6121
0.8797,0.8093,0.4024,0.5482,0.8306,3,5.1109,0.565
0.8699,0.8943,0.2339,0.7995,0.6036,2,4.1121,0.6921
0.9358,0.9436,0.7215,0.5992,0.7605,4,0.971,0.705
0.8743,0.8985,0.1093,0.7167,0.7627,5,1.6499,0.787
0.8027,0.8306,0.5014,0.7911,0.3651,5,2.562,0.6072
0.69,0.8744,0.7502,0.6413,0.4777,4,1.1011,0.5488
0.788,0.6537,0.4256,0.7219,0.7439,3,6.4105,0.5236
0.8513,0.8271,0.8978,0.6747,0.88,2,5.1439,0.5335
0.7566,0.9635,0.1416,0.949,0.9078,5,0.5774,0.8364
0.914,0.6008,0.7064,0.6807,0.693,2,7.3654,0.5025
0.786,0.9637,0.4085,0.516,0.657,5,6.7692,0.5666
0.9022,0.8213,0.7251,0.44,0.8227,5,1.7413,0.6182
0.7523,0.8256,0.4337,0.6755,0.7206,3,0.62,0.6508
0.9221,0.8313,0.749,0.698,0.6481,5,2.4231,0.5565
0.906,0.9637,0.3747,0.4897,0.847,3,7.1173,0.6429
0.7722,0.7511,0.4983,0.3502,0.6991,3,5.3528,0.4595
0.8521,0.6102,0.6694,0.7738,0.5642,2,6.7133,0.5005
0.7766,0.8301,0.3045,0.6708,0.7148,2,1.4,0.7349
0.9541,0.9152,0.5796,0.8586,0.8309,3,3.6391,0.7176
0.7918,0.8213,0.2165,0.8037,0.4784,5,4.4578,0.6278
0.6987,0.7663,0.0683,0.8958,0.5916,5,7.707,0.5579
0.8456,0.6502,0.6374,0.7052,0.9106,3,4.9425,0.551
0.9452,0.9616,0.0835,0.8279,0.6836,3,3.0051,0.8137
0.8092,0.8168,0.5468,0.8936,0.6834,4,2.3744,0.6045
0.5105,0.7768,0.8144,0.8643,0.7737,2,5.8423,0.489
0.959,0.7595,0.5891,0.9019,0.7254,1,3.6271,0.6904
0.7824,0.8325,0.217,0.5655,0.6412,2,4.4389,0.6282
0.4482,0.8661,0.2178,0.3653,0.3909,4,6.8968,0.4749
0.9317,0.9402,0.5,0.8003,0.9183,2,7.7722,0.632
0.9176,0.7527,0.5298,0.9751,0.5888,5,3.8643,0.5892
0.6756,0.8982,0.7479,0.4213,0.6892,3,1.0496,0.577
0.7093,0.5666,0.1748,0.6727,0.7325,5,3.6199,0.5644
0.8788,0.7224,1.0,0.8246,0.8551,4,6.5582,0.4875
0.8575,0.8956,0.6751,0.4816,0.9036,1,2.0675,0.6158
0.9715,0.9035,1.0,0.8024,0.725,4,2.0498,0.6472
0.9353,0.8603,1.0,0.9468,0.8266,4,5.219,0.5956
0.7331,0.8315,0.4339,0.8242,0.8993,3,4.0279,0.6142
0.8365,0.6711,0.569,0.6974,0.8291,4,4.8216,0.5437
0.852,0.8163,0.5366,0.7342,0.931,2,0.5601,0.7204
0.5955,0.9563,0.8841,0.5011,0.6254,2,5.3695,0.4479
0.6868,0.9064,0.7381,0.7674,0.9645,4,4.9643,0.5534
0.8791,0.8873,0.6686,0.9608,0.7255,2,6.9777,0.6298
0.9297,0.6454,0.6237,0.7216,0.8494,2,3.8175,0.6111
0.8088,0.9681,0.5073,0.7665,0.8847,2,7.1388,0.6151
0.8565,0.9854,0.2171,0.5769,0.8862,3,2.3142,0.7412
0.6339,0.9202,0.077,0.8694,0.8784,2,7.4979,0.7047
0.9737,0.836,0.2578,0.8448,0.7463,1,5.545,0.7426
0.9298,0.8646,0.3769,0.3853,0.6241,4,7.3521,0.5223
0.7785,0.8633,0.6345,0.7434,0.5504,4,2.7313,0.5822
0.7718,0.7708,0.5414,0.9192,0.4313,3,6.8521,0.5445
0.7545,0.905,0.2034,0.6832,0.6938,3,4.9196,0.5951
0.8771,0.9056,0.92,0.8535,0.7219,4,7.3267,0.5125
0.7673,0.923,0.3414,0.6124,0.5482,5,1.4658,0.6787
0.7271,0.8881,0.0949,0.528,0.6298,4,5.1765,0.5407
0.6752,0.891,0.1765,0.6721,0.8132,3,7.4509,0.5914
0.8438,0.952,0.4485,0.6524,0.8453,5,2.4501,0.6731
0.9159,0.4207,0.0389,0.8391,0.6235,2,7.3723,0.5624
0.909,0.7201,0.0478,0.9535,0.7616,4,6.6595,0.6486
0.9429,0.8153,0.3584,0.654,0.9417,4,6.2095,0.6067
0.6805,0.7596,0.314,0.8108,0.4549,3,4.4944,0.5146
0.7944,0.8732,0.509,0.8259,0.6589,3,4.6148,0.6016
0.9282,0.894,0.5452,0.6683,0.6621,4,4.0155,0.5799
0.7789,0.7238,0.7294,0.6479,0.6433,1,6.5941,0.4912
0.6894,0.8511,0.3812,0.6453,0.7829,3,2.076,0.6188
0.9093,0.6402,0.4204,0.7055,0.6365,2,7.5174,0.5578
0.8038,0.6626,0.5562,0.7514,0.8058,3,6.2032,0.5317
0.8761,0.7678,0.2386,0.7758,0.8431,3,5.1064,0.6372
0.6873,0.7574,0.3321,0.917,0.6003,5,3.1811,0.5742
0.7128,0.9673,0.6423,0.7681,0.7182,3,7.9286,0.5249
0.7514,0.9643,0.4134,0.8085,0.9121,2,2.8947,0.7163
0.8704,0.9004,0.8193,0.5795,0.6474,5,2.2008,0.599
0.4909,0.5284,1.0,0.6773,0.845,3,4.5858,0.2887
0.8246,0.6936,0.2298,0.6613,0.9236,4,2.0255,0.6221
0.9698,0.9311,1.0,0.784,0.6078,2,6.0969,0.572
0.9447,0.6648,0.6546,0.884,0.6792,3,2.5576,0.6183
0.9345,0.609,0.2195,0.4384,0.706,2,5.6398,0.5219
0.9715,0.9045,0.3345,0.8758,0.9934,2,2.2507,0.8464
0.8012,0.7822,0.3635,0.6572,0.6103,3,3.7659,0.6111
0.8318,0.9178,0.3629,0.6095,0.745,1,5.3174,0.6418
0.8159,0.6914,0.7367,0.8428,0.8337,2,6.039,0.5214
0.9385,0.7752,0.5992,0.6767,0.8542,2,2.2087,0.6644
0.7808,0.7606,0.4692,0.5925,0.8196,4,4.8751,0.5086
0.7395,0.7263,0.4153,0.9014,0.78,3,1.6828,0.6963
0.8455,0.868,0.2398,0.4108,0.8346,4,5.7478,0.5455
0.6695,0.7701,0.2658,0.3384,0.8796,5,2.6496,0.5938
0.8322,0.6687,0.3101,0.9295,0.9181,3,1.9755,0.7031
0.6177,0.9343,0.4371,0.6014,0.7424,4,3.8152,0.5648
0.5128,0.8376,0.0759,0.9738,0.6498,2,5.3152,0.6123
0.7056,0.8791,0.2548,0.6515,0.9191,2,2.5392,0.668
0.6066,0.7229,0.0764,0.8795,0.7482,3,5.4327,0.6001
0.894,0.4452,0.4944,0.4077,0.8923,2,0.9494,0.586
0.9408,0.9561,0.3331,0.8788,0.8908,4,0.5323,0.8608
0.672,0.7689,0.7413,0.5935,0.7092,2,1.6381,0.5536
0.935,0.6875,0.5905,0.4312,0.8463,3,6.5654,0.5426
0.8795,0.9386,0.7061,0.3878,0.8559,3,6.2032,0.5186
0.8637,0.9398,0.4281,0.4801,0.9907,4,3.5688,0.6055
0.8658,0.8978,0.5124,0.6626,0.6687,1,2.5469,0.6521
0.7575,0.5312,0.0635,0.8461,0.8086,5,4.991,0.5458
0.7988,0.9164,0.8761,0.7315,0.8793,3,5.0768,0.5312
0.747,0.6275,0.3445,0.8668,0.4201,5,7.3622,0.5053
0.7449,0.6301,0.3691,0.5613,0.7972,3,7.2026,0.4696
0.71,0.9286,0.6942,0.6098,0.4792,5,2.9233,0.5254
0.6293,0.9164,0.4664,0.6679,0.4187,3,1.7161,0.6059
0.8368,0.5696,0.5345,0.8966,0.8446,4,5.0007,0.5133
0.9016,0.7453,0.3761,0.8808,0.2382,3,2.7655,0.6393
0.8704,0.5694,0.6167,0.6896,0.65,2,4.1917,0.4881
0.7946,0.5843,0.2639,0.6455,0.8771,2,5.1071,0.5614
0.8295,0.8144,0.5144,0.4685,0.9196,1,1.4903,0.689
0.7424,0.9154,0.463,0.5663,0.8117,2,0.6618,0.7118
0.6426,0.8688,0.1865,0.5467,0.8661,5,5.852,0.5942
0.7746,0.8327,0.994,0.3884,0.8531,5,4.1676,0.4482
0.9051,0.8918,0.5896,0.7753,0.6678,2,1.3239,0.7163
0.8064,0.8881,0.0528,0.9543,0.5649,2,6.4057,0.6911
0.7393,0.6756,0.6049,0.597,0.308,2,2.3226,0.4752
0.6887,0.8076,0.2305,0.946,0.7996,2,3.4077,0.7017
0.7324,0.8565,0.1765,0.602,0.546,2,7.3802,0.6418
0.8845,0.84,0.9656,0.6149,0.7084,1,7.0833,0.4622
0.7374,0.8389,0.1177,0.8435,0.7161,2,5.1835,0.7238
0.8747,0.9178,0.81,0.6711,0.919,3,7.8571,0.5588
0.9413,0.8939,0.7739,0.9159,0.7596,2,3.2721,0.642
0.5987,0.6822,0.3148,0.6153,0.4281,2,6.693,0.4965
0.7605,0.9543,0.4595,0.3528,0.5872,3,7.145,0.5469
0.65,0.9019,0.1687,0.9093,0.8859,3,7.1634,0.6184
0.7483,0.604,0.8249,0.5906,0.8063,3,5.9257,0.3749
0.9676,0.9089,0.4812,0.6894,0.9643,3,2.3243,0.769
0.9283,0.6656,0.9298,0.6434,0.6505,2,2.8898,0.4775
0.7313,0.9419,0.3313,0.6608,0.8426,3,1.5403,0.7119
0.9291,0.8548,0.9181,0.1787,0.7767,4,2.8972,0.4599
0.9042,0.6702,0.84,0.8533,0.7578,3,0.9947,0.6041
0.9899,0.9736,0.7744,0.6476,0.5018,3,1.1639,0.6772
0.8012,0.6452,0.2819,0.814,0.5792,1,3.1164,0.612
0.7608,0.8771,0.2282,0.491,0.7042,5,1.4395,0.611
0.7706,0.9486,1.0,0.6379,0.9713,2,5.3269,0.4996
0.6589,0.8898,1.0,0.8884,0.8257,2,4.6778,0.536
0.4477,0.9143,0.3978,0.827,0.5451,4,1.8773,0.5864
0.8809,0.8592,0.2416,0.7178,0.9438,3,7.7678,0.6287
0.8974,0.9202,1.0,0.8978,0.4689,4,4.8066,0.5293
0.6148,0.6762,0.3465,0.5037,0.5647,5,2.1415,0.5159
0.759,0.7606,0.2037,0.874,0.7619,2,1.6569,0.7439
0.8721,0.6884,0.9154,0.5809,0.5716,2,0.9468,0.5681
0.7446,0.6185,0.6,0.6419,0.9856,1,3.6628,0.5555
0.9083,0.8978,0.6594,0.7107,0.8669,5,6.1882,0.5833
0.9355,0.9108,0.1941,0.6773,0.689,5,2.4466,0.7694
0.7079,0.8747,0.7406,0.8022,0.8966,3,1.9985,0.5949
0.6975,0.7317,0.4775,0.6187,0.6754,1,6.0855,0.5327
0.5593,0.7527,0.5976,0.7908,0.94,4,3.5055,0.4888
0.8243,0.8546,0.2256,0.5252,0.7003,1,0.786,0.7941
0.9375,0.6788,0.9177,0.6311,0.6551,3,2.3464,0.5245
0.7834,0.6388,0.4529,0.4327,0.8031,5,6.0858,0.4553
0.9436,0.8364,0.693,0.5012,0.5276,4,4.5628,0.5197
0.8985,0.8682,0.5396,0.5174,0.6007,4,7.1111,0.5407
0.7342,0.8502,0.8089,0.3202,0.8806,4,6.3541,0.4978
0.872,0.7897,0.4128,0.348,0.8265,3,5.0413,0.5288
0.7872,0.8167,0.7709,0.8764,0.8914,4,7.4275,0.5103
0.7715,0.8151,0.3367,0.5754,0.8382,4,1.0371,0.6885
0.71,0.8881,0.4517,0.5443,0.4304,2,4.634,0.5364
0.6236,0.904,0.9381,0.7301,0.6694,5,0.8741,0.5231
0.814,0.9095,0.513,0.7793,0.8262,4,5.9538,0.5587
0.7491,0.8568,0.6987,0.3472,0.6258,5,5.7992,0.3792
0.9306,0.6481,0.1765,0.711,0.7587,4,1.3537,0.7286
0.8022,0.8636,0.937,0.5064,0.5713,1,4.0717,0.5439
0.8123,0.6752,0.6032,0.9034,0.9286,1,5.0015,0.5779
0.8416,0.5306,1.0,0.7982,0.7868,1,3.4221,0.4624
0.9884,0.7249,0.7033,0.6718,0.3822,4,3.9568,0.4789
0.7655,0.7515,0.7505,0.9566,0.5731,5,1.2054,0.546
0.6625,0.7268,0.4966,0.8929,0.9857,3,3.1328,0.6218
0.7669,0.7378,0.3463,0.7832,0.7348,3,6.6849,0.5648
0.9655,0.8942,0.394,0.8504,0.5883,1,6.6704,0.6765
0.6903,0.7036,0.0484,0.441,0.8375,3,7.543,0.5445
0.9715,0.934,0.4967,0.7785,0.86,5,5.252,0.6799
0.7163,0.4512,0.5674,0.9642,0.989,4,3.0517,0.5216
0.7336,0.8571,0.411,0.4134,0.9423,3,7.3114,0.6141
0.5659,0.8245,0.743,0.8916,0.5168,2,2.0562,0.5978
0.8168,0.7006,0.2976,0.4515,0.6067,4,4.5279,0.5382
0.9636,0.3897,0.5382,0.6525,0.5937,3,4.6947,0.4955
0.7432,0.4228,0.9092,0.386,0.8328,2,7.5902,0.338
0.7043,0.6834,0.2531,0.664,0.8312,2,3.8488,0.5802
0.7741,0.8627,0.9172,0.8082,0.4669,2,2.6514,0.5533
0.7658,0.8758,0.1621,0.949,0.4608,2,3.8386,0.7133
0.8132,0.9331,1.0,0.8268,0.8085,2,7.8739,0.5426
0.8194,0.9722,0.6604,0.8954,0.6125,5,1.1507,0.6353
