foir,disposable_income,liquidity_score,label
0.1478,15095.14,0.5091,0.6615
0.882,99617.82,0.767,0.4984
0.764,-10552.58,0.7859,0.3606
0.1674,93640.23,0.878,0.8896
0.7393,94933.8,0.8219,0.5977
0.3384,8994.06,0.7446,0.5768
0.5723,42301.45,0.4129,0.4655
0.5491,96771.28,0.6376,0.649
0.3898,99267.83,0.582,0.7047
0.4374,25950.74,0.3514,0.4598
0.1461,583.58,0.6668,0.6584
0.8004,85346.53,0.6625,0.4632
0.6958,51769.88,0.5182,0.4577
0.5569,72964.95,0.4958,0.5744
0.3298,58759.57,0.8414,0.7988
0.5123,12419.91,0.5873,0.5089
0.6422,34056.03,0.8751,0.5792
0.5279,-1273.42,0.3483,0.3718
0.4991,12866.65,0.8328,0.5715
0.471,75544.08,0.7968,0.681
0.5081,57087.78,0.8381,0.7155
0.2379,16103.26,0.8121,0.7388
1.0,86944.05,0.879,0.4703
0.3984,94092.74,0.8136,0.7341
0.7382,76370.32,0.9152,0.6414
0.3545,35156.79,0.8632,0.7452
0.701,51330.67,0.5119,0.4669
0.3018,-2051.06,0.9787,0.6066
0.6513,40569.38,0.7156,0.5536
0.4359,33638.99,0.3647,0.4968
0.8731,99311.08,0.9041,0.521
0.581,33529.33,0.8587,0.6171
0.4753,79582.81,0.738,0.6732
0.4274,120.47,0.9329,0.5482
0.5934,65099.53,0.9483,0.6997
0.5147,51811.02,0.7823,0.6285
0.8393,55116.83,0.7355,0.4573
0.4755,31114.25,0.5651,0.6005
0.2784,37228.88,0.6491,0.669
0.0246,-16424.1,0.8371,0.7434
0.4849,64267.68,0.9397,0.7394
0.4451,62351.15,0.7577,0.7446
0.344,1737.97,0.4198,0.4506
0.2742,-2609.23,0.5606,0.5506
0.8593,10728.16,0.8902,0.417
0.5339,95874.41,0.8036,0.6915
0.058,35541.46,0.9335,0.8906
0.447,68651.52,0.7406,0.6332
0.8238,11083.42,0.4894,0.3089
0.6773,44926.47,0.5876,0.517
1.0,70321.2,0.7462,0.3845
0.3125,30167.82,0.7106,0.7066
0.3931,88540.34,0.6602,0.7003
0.4298,5385.28,0.7388,0.5246
0.1078,49998.92,0.5053,0.7968
0.8641,75052.03,0.7629,0.483
0.7454,28941.67,0.5267,0.4271
0.6341,93118.0,0.4328,0.5247
0.4672,3961.72,0.9382,0.6025
0.6531,2264.93,0.9271,0.4624
0.8949,53620.12,0.7299,0.4759
0.3965,93189.29,0.8275,0.7611
0.3542,64478.85,0.4762,0.668
0.5377,73846.34,0.6493,0.6359
0.8533,30001.35,0.9047,0.4491
0.4916,72536.69,0.7674,0.6833
0.6382,81787.42,0.6569,0.5929
0.9352,22816.61,0.6758,0.3594
0.5964,84239.53,0.6911,0.6252
0.2893,-6038.17,0.8358,0.5695
0.0614,1704.68,0.816,0.7082
0.0872,47203.03,0.8749,0.9285
0.4844,-15697.43,0.7091,0.4583
0.5971,46168.84,0.8336,0.6524
0.3639,96896.06,0.4109,0.627
0.5116,20551.17,0.9234,0.6209
0.2536,30352.87,0.9163,0.8269
0.4338,-7858.5,0.6326,0.4913
0.5284,57806.26,0.785,0.694
0.4892,94071.66,0.6049,0.586
0.3808,52479.89,0.6388,0.7006
0.2812,76289.62,0.7021,0.7961
0.4328,44551.75,0.5863,0.6715
1.0,73959.37,0.7281,0.4176
0.3836,92519.45,0.7666,0.7908
0.3536,97607.54,0.7854,0.6992
0.4426,29539.76,0.4745,0.5697
0.2238,15655.3,0.5144,0.613
0.5463,88967.96,0.7863,0.6695
0.4435,-11688.34,0.8841,0.5845
0.387,33473.36,0.5197,0.5905
1.0,71589.59,0.9041,0.4853
0.4109,37541.14,0.7131,0.5883
0.8176,95793.9,0.7497,0.4616
0.786,20193.62,0.7998,0.3977
0.1603,44980.53,0.8762,0.9039
0.5115,72564.47,0.8509,0.7393
0.1218,47441.49,0.5881,0.7757
0.5687,-5237.71,0.7309,0.4417
0.9384,75817.77,0.7945,0.454
0.7219,51935.65,0.7604,0.5275
0.4774,93732.41,0.6168,0.6855
0.0771,97076.81,0.9675,0.9728
0.7819,40841.79,0.8933,0.4771
0.7414,-19107.94,0.8631,0.4173
0.6623,-14568.9,0.8744,0.4093
1.0,-6961.65,0.6799,0.1617
0.8342,95700.52,0.8786,0.6209
0.1901,51094.42,0.6642,0.7521
0.6794,36870.7,0.8147,0.589
0.0419,40990.65,0.6613,0.8437
0.4739,4627.05,0.5844,0.4375
0.6829,-19605.77,0.7393,0.3784
0.3027,49675.72,0.685,0.7603
0.2644,-636.19,0.6822,0.5537
0.3437,62605.01,0.8651,0.7571
0.7506,36827.3,0.8728,0.5364
0.1987,-11485.35,0.6197,0.5685
0.4666,57774.32,0.8019,0.703
0.2875,2060.37,0.8946,0.6095
0.2968,9156.64,0.4952,0.5696
0.2833,-885.08,0.9097,0.625
0.4394,86485.13,0.5148,0.6402
0.3128,2298.34,0.9481,0.6424
0.9792,70969.21,0.8132,0.4394
0.3995,-11065.64,0.612,0.424
0.2313,29978.29,0.6669,0.7396
0.5092,47543.02,0.8271,0.7558
0.7881,88476.65,0.8217,0.5885
0.0173,-12531.39,0.5534,0.6672
0.6135,-19595.87,0.7845,0.3899
0.234,67148.32,0.5953,0.7032
0.42,83030.01,0.1838,0.5695
1.0,67045.29,0.8451,0.4712
0.3266,23075.89,0.5265,0.6053
0.4132,-2184.63,0.3762,0.3701
0.7483,28567.2,0.825,0.4925
0.4389,76540.73,0.6617,0.6752
0.1191,78025.64,0.8759,0.8907
0.9479,1679.0,0.7411,0.2303
0.068,62260.97,0.7098,0.8635
0.3536,92521.26,0.8991,0.7424
0.8211,-1020.13,0.6927,0.3389
0.3719,18825.04,0.7725,0.5939
0.3067,92624.41,0.2532,0.6268
0.3814,74500.16,0.6553,0.6807
0.3249,-4565.61,0.7554,0.5879
0.5267,77086.91,0.5389,0.6313
0.6867,28441.87,0.5442,0.4163
0.3897,98820.09,0.6734,0.6728
0.3642,18826.25,0.3894,0.5279
0.8138,34964.98,0.8053,0.4438
0.1672,45952.87,0.7386,0.8256
1.0,200.81,0.8453,0.2935
0.2025,44192.88,0.5856,0.7384
0.1611,76319.63,0.7925,0.8934
0.5371,-8961.14,0.564,0.3416
0.7606,7891.89,0.7825,0.3897
0.4633,53796.66,0.8078,0.7815
0.6225,12282.9,0.7219,0.4804
0.2183,64075.72,0.5707,0.7833
0.1476,-16894.01,0.7806,0.727
0.8047,17936.44,0.7321,0.4059
0.7177,81472.72,0.7761,0.6114
0.9864,32306.74,0.9208,0.4013
0.3778,-9923.1,0.6419,0.505
0.6426,-12440.48,0.7602,0.3969
0.2323,64136.82,0.7105,0.7996
0.6055,16325.78,0.4183,0.3506
0.2721,79282.56,0.9077,0.8673
0.5477,57582.33,0.9077,0.6913
0.882,75410.7,0.8013,0.5509
0.1964,-3373.27,0.5387,0.5953
0.3022,57361.81,0.372,0.6428
0.315,17871.28,0.7726,0.6343
0.618,-17976.2,0.9048,0.5292
0.9944,56082.25,0.8965,0.4376
0.8313,99123.12,0.8704,0.5248
0.462,49654.16,0.6069,0.668
0.4471,74225.49,0.6279,0.6169
0.3831,52301.22,0.6188,0.6995
0.4986,67749.02,0.8618,0.6873
0.2081,33701.09,0.8596,0.7491
0.3194,-16176.28,0.8026,0.5918
0.1946,55934.5,0.8875,0.8306
0.5022,10648.03,0.9192,0.604
0.3421,10320.96,0.6275,0.5349
0.8396,6385.0,0.6755,0.2984
0.0905,-18627.65,0.6393,0.6103
0.5264,-14389.9,0.951,0.5558
0.3306,15611.75,0.9075,0.6362
0.4072,10256.03,0.7075,0.5803
0.6567,54227.04,0.7349,0.6045
0.4556,43967.64,0.6308,0.5782
0.4005,23759.23,0.6765,0.611
0.2828,38704.47,0.5957,0.6558
0.6996,82372.62,0.7508,0.5543
0.4797,891.67,0.851,0.5329
0.6513,20979.85,0.7759,0.5361
0.1776,-9232.24,0.8381,0.6627
0.3649,-18438.6,0.855,0.5813
0.2126,64250.52,0.7223,0.7768
0.4105,-7315.64,0.4737,0.4445
0.993,38079.3,0.9484,0.4704
0.592,79776.16,0.7043,0.6165
0.5902,21135.06,0.72,0.4636
0.8674,24871.25,0.9368,0.4272
1.0,66939.71,0.7785,0.4718
0.6644,6831.61,0.7583,0.4426
0.9063,57093.02,0.8667,0.5088
0.1737,96675.83,0.5992,0.7799
1.0,89029.12,0.4101,0.3545
0.4883,-12651.59,0.5457,0.4379
0.2729,-2690.52,0.8316,0.6423
0.1696,-17098.28,0.7378,0.6679
0.5733,74754.65,0.6684,0.6205
0.5991,33078.87,0.5005,0.4257
1.0,-12016.28,0.7993,0.2634
0.8821,19250.84,0.816,0.4106
0.1787,15774.05,0.8405,0.7615
0.4376,90077.19,0.8412,0.7443
0.6266,-7053.94,0.7811,0.42
0.6351,6686.5,0.9258,0.5009
0.747,42373.3,0.5218,0.4751
0.2455,18602.81,0.8742,0.7394
0.0267,38494.41,0.5537,0.7984
0.3962,19095.14,0.7981,0.614
0.771,42961.49,0.6741,0.4812
1.0,-19993.9,0.6446,0.1801
0.4581,66947.15,0.7471,0.7082
0.5584,12293.68,0.9021,0.5858
0.3498,-4773.38,0.8988,0.5464
0.3112,50050.23,0.7439,0.735
0.538,18856.58,0.8917,0.5768
0.5063,-2178.94,0.7633,0.4979
0.4755,95203.03,0.9638,0.7405
0.5305,85029.6,0.8821,0.6928
0.8094,35704.18,0.7106,0.4422
0.3117,73984.25,0.77,0.833
1.0,89357.9,0.5865,0.4107
0.5368,-17520.43,0.4856,0.3729
0.672,58911.5,0.6015,0.5386
0.4541,-19827.66,0.8692,0.5369
0.3309,57462.59,0.7321,0.7802
0.2551,-879.72,0.7565,0.5796
0.3835,54156.7,0.9677,0.778
0.3964,78396.64,0.9725,0.8053
0.5917,73258.73,0.6136,0.5539
0.297,19823.57,0.7451,0.6541
0.0585,96129.02,0.7535,0.8822
0.3397,9919.14,0.7252,0.5864
0.7544,14397.35,0.634,0.3699
0.8944,-7466.24,0.6664,0.232
0.6379,92704.86,0.9297,0.5857
0.482,65659.4,0.6985,0.6875
1.0,19820.89,0.7233,0.2749
0.3509,42013.53,0.7718,0.7135
0.6964,35128.72,0.6435,0.4821
0.8412,63310.11,0.8692,0.5521
0.2906,38811.05,0.1858,0.5387
0.8007,7257.83,0.7035,0.314
0.7059,71790.82,0.5951,0.5724
0.3691,71902.78,0.7809,0.7669
0.3666,4664.11,0.7597,0.5812
1.0,95972.27,0.8859,0.4421
0.5002,76563.09,0.9204,0.7429
0.9329,3758.94,0.9268,0.3099
0.3565,78633.58,0.8273,0.7348
0.1499,99209.5,0.6196,0.8533
0.8054,47489.06,0.9146,0.5906
0.9027,46785.27,0.7039,0.4376
1.0,65988.49,0.5008,0.3523
0.8839,-19883.7,0.7027,0.2675
0.5446,51430.39,0.9488,0.6829
0.4366,-343.4,0.6506,0.4703
0.3674,36319.87,0.8937,0.7232
0.4167,-2361.81,0.4552,0.4384
0.2676,12348.28,0.8517,0.6864
0.7568,62961.59,0.8527,0.5951
0.3377,80341.01,0.8446,0.7985
0.4432,50605.98,0.8992,0.7707
0.1776,27053.34,0.6927,0.7581
0.2891,18550.14,0.7534,0.6497
0.3546,3309.39,0.746,0.6066
0.6041,91336.18,0.6882,0.6845
0.9295,64645.82,0.9715,0.5466
0.2144,-16846.07,0.867,0.6666
0.3564,57126.75,0.6768,0.7697
0.302,23825.32,0.5648,0.5741
0.3676,20833.32,0.9234,0.6981
0.3681,-18318.95,0.7392,0.5878
0.4204,66291.46,0.7323,0.7096
1.0,25718.74,0.5982,0.311
0.2109,76211.71,0.701,0.8046
0.574,16393.78,0.5689,0.4385
0.7785,17569.08,0.8059,0.4168
0.7959,82041.51,0.8126,0.6031
